district,age,sex,rural,urban,total
ATTOCK DISTRICT,25,Transgender,4,3,7
ATTOCK DISTRICT,26,Male,10733,4090,14823
ATTOCK DISTRICT,26,Female,13241,4588,17829
ATTOCK DISTRICT,26,Transgender,2,2,4
ATTOCK DISTRICT,27,Male,10163,4089,14252
ATTOCK DISTRICT,27,Female,13185,4690,17875
ATTOCK DISTRICT,27,Transgender,2,3,5
ATTOCK DISTRICT,28,Male,9632,3772,13404
ATTOCK DISTRICT,28,Female,11776,4233,16009
ATTOCK DISTRICT,28,Transgender,0,2,2
ATTOCK DISTRICT,29,Male,10221,4073,14294
ATTOCK DISTRICT,29,Female,12956,4354,17310
ATTOCK DISTRICT,29,Transgender,0,5,5
ATTOCK DISTRICT,30,Male,8693,3506,12199
ATTOCK DISTRICT,30,Female,10004,3612,13616
ATTOCK DISTRICT,30,Transgender,0,2,2
ATTOCK DISTRICT,31,Male,10187,4037,14224
ATTOCK DISTRICT,31,Female,12976,4437,17413
ATTOCK DISTRICT,31,Transgender,3,0,3
ATTOCK DISTRICT,32,Male,9007,3626,12633
ATTOCK DISTRICT,32,Female,10932,3947,14879
ATTOCK DISTRICT,32,Transgender,0,2,2
ATTOCK DISTRICT,33,Male,9648,3776,13424
ATTOCK DISTRICT,33,Female,11144,4056,15200
ATTOCK DISTRICT,33,Transgender,0,1,1
ATTOCK DISTRICT,34,Male,9545,3638,13183
ATTOCK DISTRICT,34,Female,11016,3916,14932
ATTOCK DISTRICT,34,Transgender,0,3,3
ATTOCK DISTRICT,35,Male,7260,2939,10199
ATTOCK DISTRICT,35,Female,8191,2980,11171
ATTOCK DISTRICT,35,Transgender,2,0,2
ATTOCK DISTRICT,36,Male,8729,3494,12223
ATTOCK DISTRICT,36,Female,10350,3624,13974
ATTOCK DISTRICT,36,Transgender,4,0,4
ATTOCK DISTRICT,37,Male,7823,3154,10977
ATTOCK DISTRICT,37,Female,8907,3294,12201
ATTOCK DISTRICT,37,Transgender,1,0,1
ATTOCK DISTRICT,38,Male,8538,3503,12041
ATTOCK DISTRICT,38,Female,9360,3475,12835
ATTOCK DISTRICT,38,Transgender,2,2,4
ATTOCK DISTRICT,39,Male,8226,3429,11655
ATTOCK DISTRICT,39,Female,9362,3374,12736
ATTOCK DISTRICT,39,Transgender,3,0,3
ATTOCK DISTRICT,40,Male,6736,2987,9723
ATTOCK DISTRICT,40,Female,7306,2720,10026
ATTOCK DISTRICT,40,Transgender,3,0,3
ATTOCK DISTRICT,41,Male,7250,3026,10276
ATTOCK DISTRICT,41,Female,8725,2938,11663
ATTOCK DISTRICT,41,Transgender,0,0,0
ATTOCK DISTRICT,42,Male,6526,2764,9290
ATTOCK DISTRICT,42,Female,7230,2578,9808
ATTOCK DISTRICT,42,Transgender,0,1,1
ATTOCK DISTRICT,43,Male,7004,2950,9954
ATTOCK DISTRICT,43,Female,8099,2729,10828
ATTOCK DISTRICT,43,Transgender,1,1,2
ATTOCK DISTRICT,44,Male,6779,2409,9188
ATTOCK DISTRICT,44,Female,7441,2633,10074
ATTOCK DISTRICT,44,Transgender,4,1,5
ATTOCK DISTRICT,45,Male,5286,1991,7277
ATTOCK DISTRICT,45,Female,5753,2070,7823
ATTOCK DISTRICT,45,Transgender,2,1,3
ATTOCK DISTRICT,46,Male,6414,2172,8586
ATTOCK DISTRICT,46,Female,7027,2308,9335
ATTOCK DISTRICT,46,Transgender,0,1,1
ATTOCK DISTRICT,47,Male,5928,2083,8011
ATTOCK DISTRICT,47,Female,6012,1891,7903
ATTOCK DISTRICT,47,Transgender,0,0,0
ATTOCK DISTRICT,48,Male,6496,2332,8828
