district,group,relationship,total_pop,never_married,married,widowed,divorced
MANSEHRA DISTRICT,RURAL,Father/Mother,29915,,13292,16560,63
MANSEHRA DISTRICT,RURAL,Brother / Sister,33836,21052,11359,921,504
MANSEHRA DISTRICT,RURAL,Other Relative,42264,10965,26751,4342,206
MANSEHRA DISTRICT,RURAL,Non-Relative,14112,6869,6845,366,32
MANSEHRA DISTRICT,URBAN,Head,21324,890,18705,1680,49
MANSEHRA DISTRICT,URBAN,Spouse,17396,,17396,,
MANSEHRA DISTRICT,URBAN,Son/Daughter,29657,23642,5759,128,128
MANSEHRA DISTRICT,URBAN,Daughter / Son In Law,6146,,6105,40,1
MANSEHRA DISTRICT,URBAN,Grand Son / Grand Daughter,1109,1026,79,1,3
MANSEHRA DISTRICT,URBAN,Father/Mother,3173,,1371,1795,7
MANSEHRA DISTRICT,URBAN,Brother / Sister,4874,2996,1698,107,73
MANSEHRA DISTRICT,URBAN,Other Relative,5003,1568,3020,400,15
MANSEHRA DISTRICT,URBAN,Non-Relative,3035,1612,1367,49,7
TORGHAR DISTRICT,OVERALL,Head,26281,361,24664,1254,2
TORGHAR DISTRICT,OVERALL,Spouse,23351,,23351,,
TORGHAR DISTRICT,OVERALL,Son/Daughter,19835,14161,5590,52,32
TORGHAR DISTRICT,OVERALL,Daughter / Son In Law,6711,,6652,59,
TORGHAR DISTRICT,OVERALL,Grand Son / Grand Daughter,837,710,125,2,
TORGHAR DISTRICT,OVERALL,Father/Mother,3806,,2120,1684,2
TORGHAR DISTRICT,OVERALL,Brother / Sister,3212,1713,1394,94,11
TORGHAR DISTRICT,OVERALL,Other Relative,3806,701,2765,336,4
TORGHAR DISTRICT,OVERALL,Non-Relative,423,90,316,17,
TORGHAR DISTRICT,RURAL,Head,26281,361,24664,1254,2
TORGHAR DISTRICT,RURAL,Spouse,23351,,23351,,
TORGHAR DISTRICT,RURAL,Son/Daughter,19835,14161,5590,52,32
TORGHAR DISTRICT,RURAL,Daughter / Son In Law,6711,,6652,59,
TORGHAR DISTRICT,RURAL,Grand Son / Grand Daughter,837,710,125,2,
TORGHAR DISTRICT,RURAL,Father/Mother,3806,,2120,1684,2
TORGHAR DISTRICT,RURAL,Brother / Sister,3212,1713,1394,94,11
TORGHAR DISTRICT,RURAL,Other Relative,3806,701,2765,336,4
TORGHAR DISTRICT,RURAL,Non-Relative,423,90,316,17,
TORGHAR DISTRICT,URBAN,Head,,,,,
TORGHAR DISTRICT,URBAN,Spouse,,,,,
TORGHAR DISTRICT,URBAN,Son/Daughter,,,,,
TORGHAR DISTRICT,URBAN,Daughter / Son In Law,,,,,
TORGHAR DISTRICT,URBAN,Grand Son / Grand Daughter,,,,,
TORGHAR DISTRICT,URBAN,Father/Mother,,,,,
TORGHAR DISTRICT,URBAN,Brother / Sister,,,,,
TORGHAR DISTRICT,URBAN,Other Relative,,,,,
TORGHAR DISTRICT,URBAN,Non-Relative,,,,,
KOHISTAN DISTRICT,OVERALL,Head,79011,2232,74690,2031,58
KOHISTAN DISTRICT,OVERALL,Spouse,81963,,81963,,
KOHISTAN DISTRICT,OVERALL,Son/Daughter,112037,70549,41398,55,35
KOHISTAN DISTRICT,OVERALL,Daughter / Son In Law,38501,,38320,152,29
KOHISTAN DISTRICT,OVERALL,Grand Son / Grand Daughter,11186,6146,5021,18,1
KOHISTAN DISTRICT,OVERALL,Father/Mother,21623,,18733,2858,32
KOHISTAN DISTRICT,OVERALL,Brother / Sister,28285,11045,17033,152,55
KOHISTAN DISTRICT,OVERALL,Other Relative,15840,3457,11739,623,21
KOHISTAN DISTRICT,OVERALL,Non-Relative,6670,2583,4045,39,3
KOHISTAN DISTRICT,RURAL,Head,79011,2232,74690,2031,58
KOHISTAN DISTRICT,RURAL,Spouse,81963,,81963,,
KOHISTAN DISTRICT,RURAL,Son/Daughter,112037,70549,41398,55,35
KOHISTAN DISTRICT,RURAL,Daughter / Son In Law,38501,,38320,152,29
KOHISTAN DISTRICT,RURAL,Grand Son / Grand Daughter,11186,6146,5021,18,1
KOHISTAN DISTRICT,RURAL,Father/Mother,21623,,18733,2858,32
KOHISTAN DISTRICT,RURAL,Brother / Sister,28285,11045,17033,152,55
KOHISTAN DISTRICT,RURAL,Other Relative,15840,3457,11739,623,21
KOHISTAN DISTRICT,RURAL,Non-Relative,6670,2583,4045,39,3
HANGU DISTRICT,OVERALL,Head,47717,2771,41433,3473,40
HANGU DISTRICT,OVERALL,Spouse,37100,,37100,,
