district,tehsil,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
KAMBAR SHAHDAD KOT DISTRICT,WARAH TALUKA,30396,499,10496,1197,281,29442,775
LARKANA DISTRICT,BAKRANI TALUKA,33152,2786,17881,2064,484,31580,1249
LARKANA DISTRICT,DOKRI TALUKA,30855,775,17329,1527,344,29180,1011
LARKANA DISTRICT,LARKANA TALUKA,114910,5894,81994,8980,4645,110905,10905
LARKANA DISTRICT,RATODERO TALUKA,46991,1854,26918,4568,995,45041,2431
SHIKARPUR DISTRICT,GARHI YASIN TALUKA,41779,954,13840,1344,545,40791,1080
SHIKARPUR DISTRICT,KHANPUR TALUKA,30794,939,5182,1193,331,30089,667
SHIKARPUR DISTRICT,LAKHI TALUKA,31779,382,8735,2309,416,30920,1065
SHIKARPUR DISTRICT,SHIKARPUR TALUKA,54549,2062,28143,2849,2027,52840,4305
GHOTKI DISTRICT,DAHARKI TALUKA,43957,587,14971,2147,1578,43136,2644
GHOTKI DISTRICT,GHOTKI TALUKA,74254,3483,30258,6892,1266,72047,3448
