district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
CHAGAI DISTRICT,RURAL,3 PERSONS,1379,1121,304,90,24,6,11,4,5
CHAGAI DISTRICT,RURAL,4 PERSONS,1185,1331,385,172,36,22,19,6,6
CHAGAI DISTRICT,RURAL,5 PERSONS,962,1565,523,218,57,26,19,6,5
CHAGAI DISTRICT,RURAL,6 PERSONS,739,1557,570,268,73,41,30,11,6
CHAGAI DISTRICT,RURAL,7 PERSONS,592,1358,642,309,118,52,36,10,10
CHAGAI DISTRICT,RURAL,8 PERSONS,384,1107,706,344,123,57,32,12,13
CHAGAI DISTRICT,RURAL,9 PERSONS,234,821,613,326,140,73,41,15,9
CHAGAI DISTRICT,RURAL,10 PERSONS AND ABOVE,440,1519,1577,1193,515,363,203,118,209
CHAGAI DISTRICT,URBAN,1 PERSON,3,8,6,4,1,1,,,
CHAGAI DISTRICT,URBAN,2 PERSONS,33,41,10,9,,,3,,
CHAGAI DISTRICT,URBAN,3 PERSONS,35,50,30,11,1,1,,,1
CHAGAI DISTRICT,URBAN,4 PERSONS,31,66,38,20,4,2,1,1,
CHAGAI DISTRICT,URBAN,5 PERSONS,30,72,51,32,7,4,1,2,4
CHAGAI DISTRICT,URBAN,6 PERSONS,21,72,49,26,5,3,2,1,3
CHAGAI DISTRICT,URBAN,7 PERSONS,15,82,47,37,9,4,3,1,9
CHAGAI DISTRICT,URBAN,8 PERSONS,11,56,45,48,11,8,9,1,4
CHAGAI DISTRICT,URBAN,9 PERSONS,8,42,34,41,18,10,11,,6
CHAGAI DISTRICT,URBAN,10 PERSONS AND ABOVE,14,108,103,143,63,57,41,25,51
CHAKWAL DISTRICT,RURAL,1 PERSON,2234,2925,1655,835,265,156,63,29,41
CHAKWAL DISTRICT,RURAL,2 PERSONS,3059,7268,4584,2178,831,386,141,64,100
CHAKWAL DISTRICT,RURAL,3 PERSONS,3142,8448,6640,3379,1226,593,215,119,109
